Unnamed: 0,1: Support,2: Waste of money,3: Version errors (SO),5: Bugs,6: Long time users (upgrade),9: Personal data,11: Quickbooks,12: TurboTax,13: Install,14: Downloaded and bought from Amazon,17: slow performance,18: hard to use,Dom_Topic
12675,0.04,0.01,0.24,0.01,0.13,0.01,0.21,0.02,0.06,0.03,0.01,0.04,3
12676,0.04,0.12,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.12,0.03,0.15,18
12677,0.17,0.04,0.02,0.03,0.04,0.03,0.1,0.03,0.03,0.05,0.03,0.13,1
12678,0.3,0.02,0.1,0.02,0.06,0.02,0.19,0.03,0.04,0.01,0.02,0.02,1
12679,0.08,0.1,0.01,0.01,0.09,0.01,0.26,0.2,0.07,0.01,0.01,0.03,11
12680,0.07,0.13,0.04,0.04,0.04,0.04,0.05,0.04,0.05,0.04,0.04,0.1,2
12681,0.03,0.07,0.04,0.03,0.1,0.03,0.07,0.04,0.03,0.26,0.03,0.03,14
12682,0.01,0.03,0.05,0.01,0.02,0.03,0.19,0.08,0.01,0.01,0.04,0.02,16
12683,0.04,0.03,0.03,0.03,0.04,0.03,0.19,0.03,0.03,0.03,0.04,0.03,0
12684,0.04,0.02,0.07,0.02,0.15,0.02,0.16,0.02,0.15,0.02,0.08,0.04,11
12685,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.15,0.11,0.04,0.06,13
12686,0.27,0.13,0.03,0.01,0.02,0.01,0.26,0.01,0.03,0.03,0.01,0.07,1
12687,0.14,0.04,0.04,0.02,0.11,0.03,0.06,0.05,0.19,0.08,0.03,0.02,13
12688,0.24,0.08,0.03,0.02,0.08,0.02,0.11,0.02,0.06,0.02,0.02,0.14,1
12689,0.48,0.02,0.01,0.01,0.03,0.01,0.1,0.03,0.04,0.12,0.01,0.01,1
12690,0.09,0.02,0.05,0.02,0.12,0.02,0.15,0.03,0.28,0.02,0.03,0.02,13
12691,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.04,0.03,0.09,0.03,0.09,16
12692,0.14,0.11,0.03,0.03,0.09,0.03,0.04,0.07,0.03,0.15,0.03,0.03,14
12693,0.03,0.03,0.05,0.03,0.03,0.03,0.2,0.04,0.03,0.09,0.03,0.11,11
