Unnamed: 0,Topic0: Waste of money,Topic2: Problemas de funcionamiento,Topic6: Falta de metodos de importacion de datos,Topic8: Falta de funciones y de opciones de calidad de vida,Topic12:  Problemas Intalacion nueva version,Dom_Topic
5717,0.02,0.64,0.02,0.02,0.03,2
5718,0.01,0.78,0.03,0.04,0.02,2
5719,0.01,0.55,0.01,0.01,0.29,2
5720,0.01,0.52,0.02,0.01,0.2,2
5721,0.02,0.65,0.02,0.02,0.02,2
5722,0.01,0.63,0.01,0.01,0.14,2
5723,0.01,0.6,0.01,0.01,0.3,2
5724,0.04,0.28,0.05,0.05,0.04,2
5725,0.05,0.08,0.05,0.05,0.08,2
5726,0.03,0.5,0.03,0.03,0.03,2
5727,0.01,0.83,0.01,0.01,0.01,2
5728,0.02,0.2,0.02,0.02,0.44,12
5729,0.03,0.39,0.04,0.03,0.13,2
5730,0.01,0.5,0.23,0.02,0.02,2
5731,0.01,0.75,0.02,0.01,0.02,2
5732,0.02,0.62,0.02,0.04,0.04,2
5733,0.02,0.48,0.08,0.03,0.06,2
5734,0.02,0.38,0.04,0.18,0.03,2
5735,0.02,0.48,0.02,0.02,0.2,2
5736,0.01,0.71,0.02,0.01,0.11,2
5737,0.03,0.36,0.04,0.05,0.05,2
5738,0.02,0.3,0.02,0.04,0.29,2
5739,0.01,0.69,0.12,0.01,0.03,2
5740,0.04,0.22,0.04,0.04,0.09,2
5741,0.03,0.43,0.03,0.03,0.06,2
5742,0.02,0.39,0.02,0.02,0.32,2
5743,0.02,0.51,0.03,0.03,0.04,2
5744,0.04,0.14,0.04,0.05,0.1,2
5745,0.01,0.7,0.02,0.02,0.02,2
5746,0.02,0.62,0.02,0.05,0.06,2
5747,0.02,0.51,0.06,0.02,0.06,2
5748,0.02,0.53,0.02,0.02,0.09,2
5749,0.01,0.57,0.01,0.27,0.01,2
5750,0.02,0.62,0.03,0.06,0.02,2
5751,0.02,0.59,0.03,0.02,0.08,2
5752,0.04,0.07,0.04,0.04,0.24,12
5753,0.01,0.29,0.01,0.01,0.54,12
5754,0.01,0.48,0.02,0.02,0.28,2
